BALB/c VS. BALB/c Foxn1nu/nu 															BALB/c +OVA VS. BALB/c Foxn1nu/nu 															BALB/c +OVA+anti-PD-1 antibody VS. BALB/c Foxn1nu/nu 													
id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RFWD2	8	1.46E-12	5.00E-06	0.000138	1	8	-2.7634	1	1	0.999995	83	0	-2.7634		RFWD2	8	8.26E-14	5.00E-06	0.000138	1	8	-3.3159	1	1	0.999995	83	0	-3.3159		RFWD2	8	2.01E-14	5.00E-06	0.000415	1	8	-3.6254	1	1	0.999995	83	0	-3.6254
STAT1	8	2.05E-07	5.00E-06	0.000138	2	7	-2.5297	0.91455	0.91509	0.999995	67	0	-2.5297		IRF1	8	3.07E-07	5.00E-06	0.000138	2	7	-1.8003	0.99978	0.99976	0.999995	81	0	-1.8003		ZMYM2	8	2.79E-06	2.50E-05	0.001036	2	8	-1.9032	1	1	0.999995	82	0	-1.9032
IRF1	8	2.34E-07	5.00E-06	0.000138	3	8	-1.522	1	1	0.999995	82	0	-1.522		STAT1	8	7.38E-07	5.00E-06	0.000138	3	6	-2.4975	0.52762	0.52856	0.999995	39	0	-2.4975		IRF1	8	2.80E-05	0.00015485	0.004284	3	8	-1.3057	0.99997	0.99997	0.999995	81	0	-1.3057
JAK1	8	9.24E-07	1.50E-05	0.000311	4	6	-2.1365	0.98884	0.98907	0.999995	75	0	-2.1365		ZMYM2	8	2.63E-05	0.00012488	0.002591	4	6	-1.0565	0.99996	0.99996	0.999995	82	0	-1.0565		TRIM24	8	0.00010095	0.00063438	0.013163	4	6	-1.6316	0.99632	0.99632	0.999995	79	0	-1.6316
ZMYM2	8	2.28E-06	2.50E-05	0.000415	5	8	-1.4946	1	1	0.999995	81	0	-1.4946		FUS	8	3.04E-05	0.00016484	0.002736	5	7	-1.3592	0.99577	0.99579	0.999995	78	0	-1.3592		STAT1	8	0.0001488	0.00090411	0.015008	5	5	-1.6411	0.0085744	0.027868	0.462604	5	2	-1.6411
TRIM24	8	4.72E-06	3.50E-05	0.000484	6	8	-1.1388	1	1	0.999995	80	0	-1.1388		TRIM24	8	3.88E-05	0.00025475	0.003524	6	7	-1.179	0.99953	0.99946	0.999995	80	0	-1.179		TAF2	8	0.00039335	0.0025225	0.034895	6	6	-0.99473	0.82948	0.82934	0.999995	61	0	-0.99473
CD274	8	0.00017876	0.0011439	0.013563	7	7	-0.69958	0.99928	0.99922	0.999995	79	0	-0.69958		JAK2	8	6.19E-05	0.0004046	0.004797	7	6	-1.008	0.16236	0.19144	0.864733	18	1	-1.008		FUS	8	0.00050867	0.0032518	0.038557	7	7	-1.052	0.99993	0.99993	0.999995	80	0	-1.052
FUS	8	0.00091335	0.0049501	0.051358	8	6	-0.86594	0.98942	0.98955	0.999995	76	0	-0.86594		JAK1	8	8.25E-05	0.00052449	0.005442	8	6	-1.4132	0.56761	0.56802	0.999995	40	0	-1.4132		TAF6	8	0.0022788	0.011464	0.118937	8	6	-1.233	0.9528	0.95302	0.999995	72	0	-1.233
JAK2	8	0.0012663	0.0065786	0.060669	9	5	-1.0115	0.64289	0.64258	0.999995	50	0	-1.0115		TSC2	8	0.00056219	0.0031719	0.029252	9	5	-1.1182	0.911	0.91174	0.999995	70	0	-1.1182		GUK1	8	0.0072868	0.031814	0.293394	9	4	-0.64314	0.82298	0.82262	0.999995	60	0	-0.64314
SLC39A10	8	0.0015179	0.0076275	0.063308	10	5	-0.82251	0.1709	0.19993	0.982822	17	1	-0.82251		B2M	8	0.0078258	0.030255	0.251119	10	4	-0.43817	0.361	0.3611	0.999995	26	1	-0.43817		JAK2	8	0.008325	0.0359	0.297968	10	5	-0.72623	0.88534	0.886	0.999995	67	0	-0.72623
TSC2	8	0.0020261	0.010015	0.075569	11	4	-0.94957	0.98783	0.9881	0.999995	74	0	-0.94957		TSC1	8	0.01321	0.048547	0.340347	11	4	-0.69557	0.9956	0.99555	0.999995	77	0	-0.69557		TSC2	8	0.013827	0.054162	0.408676	11	5	-0.92358	0.85155	0.85185	0.999995	64	0	-0.92358
BCL2	8	0.0049849	0.020924	0.144728	12	5	-0.66655	0.548	0.54909	0.999995	41	0	-0.66655		TAF6	8	0.013477	0.049207	0.340347	12	5	-0.35055	0.89406	0.89466	0.999995	67	0	-0.35055		SLC39A10	8	0.021756	0.077499	0.536035	12	4	-0.69039	0.37441	0.43732	0.999995	31	1	-0.69039
TAF6	8	0.0056828	0.023332	0.148967	13	5	-0.75624	0.96336	0.96336	0.999995	71	0	-0.75624		TAF1	8	0.022529	0.071855	0.43251	13	3	-0.017263	0.65884	0.65868	0.999995	44	0	-0.017263		KDM5A	8	0.036087	0.11747	0.690689	13	5	-0.48257	0.69246	0.69255	0.999995	54	0	-0.48257
B2M	8	0.0064309	0.02599	0.154081	14	4	-0.35294	0.90479	0.90572	0.999995	66	0	-0.35294		BCL2	8	0.02303	0.072954	0.43251	14	4	-0.42731	0.95743	0.95766	0.999995	72	0	-0.42731		TAF1	8	0.038977	0.12516	0.690689	14	5	-0.46525	0.56278	0.57035	0.999995	43	1	-0.46525
